Filename,Sign
03325.ppm,Keep right
03326.ppm,End of no passing
03327.ppm,No passing
03328.ppm,General caution
03329.ppm,Speed limit (100km/h)
03330.ppm,General caution
03331.ppm,Bicycles crossing
03332.ppm,Priority road
03333.ppm,Right-of-way at the next intersection
03334.ppm,Road work
03335.ppm,Right-of-way at the next intersection
03336.ppm,Yield
03337.ppm,Right-of-way at the next intersection
03338.ppm,Speed limit (100km/h)
03339.ppm,Bumpy road
03340.ppm,Keep right
03341.ppm,Right-of-way at the next intersection
03342.ppm,Speed limit (50km/h)
03343.ppm,Speed limit (30km/h)
03344.ppm,Priority road
03345.ppm,Speed limit (80km/h)
03346.ppm,Speed limit (100km/h)
03347.ppm,Keep right
03348.ppm,General caution
03349.ppm,Traffic signals
03350.ppm,Speed limit (80km/h)
03351.ppm,No passing
03352.ppm,Turn left ahead
03353.ppm,Speed limit (120km/h)
03354.ppm,Speed limit (30km/h)
03355.ppm,No passing
03356.ppm,End of no passing by vechiles over 3.5 metric tons
03357.ppm,Priority road
03358.ppm,Traffic signals
03359.ppm,Children crossing
03360.ppm,Slippery road
03361.ppm,Speed limit (70km/h)
03362.ppm,No passing for vechiles over 3.5 metric tons
03363.ppm,Turn left ahead
03364.ppm,Speed limit (80km/h)
03365.ppm,Vechiles over 3.5 metric tons prohibited
03366.ppm,Ahead only
03367.ppm,No passing
03368.ppm,Keep right
03369.ppm,End of speed limit (80km/h)
03370.ppm,No passing for vechiles over 3.5 metric tons
03371.ppm,Speed limit (80km/h)
03372.ppm,No passing
03373.ppm,Speed limit (80km/h)
03374.ppm,Yield
03375.ppm,Speed limit (30km/h)
03376.ppm,Speed limit (70km/h)
03377.ppm,No entry
03378.ppm,Speed limit (30km/h)
03379.ppm,Keep right
03380.ppm,Speed limit (50km/h)
03381.ppm,Speed limit (60km/h)
03382.ppm,No passing
03383.ppm,Speed limit (80km/h)
03384.ppm,Keep right
03385.ppm,General caution
03386.ppm,Priority road
03387.ppm,Dangerous curve to the right
03388.ppm,Dangerous curve to the left
03389.ppm,Speed limit (70km/h)
03390.ppm,Road narrows on the right
03391.ppm,Speed limit (30km/h)
03392.ppm,Keep right
03393.ppm,No passing
03394.ppm,No entry
03395.ppm,Yield
03396.ppm,Speed limit (30km/h)
03397.ppm,Keep right
03398.ppm,Priority road
03399.ppm,Speed limit (70km/h)
03400.ppm,Keep right
03401.ppm,Speed limit (50km/h)
03402.ppm,Yield
03403.ppm,Speed limit (100km/h)
03404.ppm,Keep right
03405.ppm,Keep left
03406.ppm,No passing
03407.ppm,No passing
03408.ppm,Pedestrians
03409.ppm,Priority road
03410.ppm,Stop
03411.ppm,Keep right
03412.ppm,Speed limit (30km/h)
03413.ppm,Speed limit (20km/h)
03414.ppm,Speed limit (30km/h)
03415.ppm,Keep right
03416.ppm,Speed limit (80km/h)
03417.ppm,Road work
03418.ppm,Slippery road
03419.ppm,No passing
03420.ppm,General caution
03421.ppm,Speed limit (100km/h)
03422.ppm,Stop
03423.ppm,General caution
03424.ppm,Speed limit (120km/h)
03425.ppm,Speed limit (80km/h)
03426.ppm,Stop
03427.ppm,Keep right
03428.ppm,Priority road
03429.ppm,No passing for vechiles over 3.5 metric tons
03430.ppm,Road work
03431.ppm,Road work
03432.ppm,General caution
03433.ppm,Priority road
03434.ppm,Dangerous curve to the right
03435.ppm,Road work
03436.ppm,Yield
03437.ppm,Speed limit (80km/h)
03438.ppm,Speed limit (70km/h)
03439.ppm,Speed limit (50km/h)
03440.ppm,Vechiles over 3.5 metric tons prohibited
03441.ppm,Speed limit (120km/h)
03442.ppm,Turn right ahead
03443.ppm,No vechiles
03444.ppm,Keep right
03445.ppm,No passing for vechiles over 3.5 metric tons
03446.ppm,Speed limit (50km/h)
03447.ppm,No passing for vechiles over 3.5 metric tons
03448.ppm,Speed limit (30km/h)
03449.ppm,Priority road
03450.ppm,Yield
03451.ppm,Speed limit (70km/h)
03452.ppm,Speed limit (50km/h)
03453.ppm,Yield
03454.ppm,Speed limit (50km/h)
03455.ppm,No passing
03456.ppm,Speed limit (70km/h)
03457.ppm,No vechiles
03458.ppm,No entry
03459.ppm,Speed limit (50km/h)
03460.ppm,Speed limit (60km/h)
03461.ppm,Speed limit (30km/h)
03462.ppm,General caution
03463.ppm,General caution
03464.ppm,Priority road
03465.ppm,Speed limit (100km/h)
03466.ppm,Stop
03467.ppm,No entry
03468.ppm,Traffic signals
03469.ppm,Ahead only
03470.ppm,Speed limit (70km/h)
03471.ppm,No passing
03472.ppm,No vechiles
03473.ppm,No passing for vechiles over 3.5 metric tons
03474.ppm,Speed limit (70km/h)
03475.ppm,Speed limit (100km/h)
03476.ppm,Ahead only
03477.ppm,Speed limit (50km/h)
03478.ppm,Keep right
03479.ppm,Speed limit (60km/h)
03480.ppm,Roundabout mandatory
03481.ppm,Yield
03482.ppm,Right-of-way at the next intersection
03483.ppm,Right-of-way at the next intersection
03484.ppm,Speed limit (60km/h)
03485.ppm,Go straight or left
03486.ppm,Stop
03487.ppm,Speed limit (120km/h)
03488.ppm,Ahead only
03489.ppm,Right-of-way at the next intersection
03490.ppm,No entry
03491.ppm,Speed limit (30km/h)
03492.ppm,Bumpy road
03493.ppm,Beware of ice/snow
03494.ppm,No passing
03495.ppm,Ahead only
03496.ppm,Traffic signals
03497.ppm,Speed limit (120km/h)
03498.ppm,Ahead only
03499.ppm,Speed limit (120km/h)
03500.ppm,End of speed limit (80km/h)
03501.ppm,Speed limit (80km/h)
03502.ppm,Beware of ice/snow
03503.ppm,Road work
03504.ppm,Turn left ahead
03505.ppm,Speed limit (80km/h)
03506.ppm,General caution
03507.ppm,Keep right
03508.ppm,Dangerous curve to the right
03509.ppm,Speed limit (30km/h)
03510.ppm,No passing for vechiles over 3.5 metric tons
03511.ppm,Speed limit (80km/h)
03512.ppm,Keep right
03513.ppm,Priority road
03514.ppm,Speed limit (120km/h)
03515.ppm,Traffic signals
03516.ppm,Speed limit (60km/h)
03517.ppm,Stop
03518.ppm,Slippery road
03519.ppm,No entry
03520.ppm,Ahead only
03521.ppm,Priority road
03522.ppm,Right-of-way at the next intersection
03523.ppm,Bumpy road
03524.ppm,Right-of-way at the next intersection
03525.ppm,No vechiles
03526.ppm,Priority road
03527.ppm,Right-of-way at the next intersection
03528.ppm,Priority road
03529.ppm,Priority road
03530.ppm,Bicycles crossing
03531.ppm,Yield
03532.ppm,Speed limit (80km/h)
03533.ppm,Dangerous curve to the right
03534.ppm,Speed limit (60km/h)
03535.ppm,Stop
03536.ppm,Keep right
03537.ppm,Bumpy road
03538.ppm,Pedestrians
03539.ppm,End of speed limit (80km/h)
03540.ppm,Ahead only
03541.ppm,General caution
03542.ppm,Speed limit (70km/h)
03543.ppm,Road work
03544.ppm,Speed limit (30km/h)
03545.ppm,Priority road
03546.ppm,No entry
03547.ppm,Speed limit (30km/h)
03548.ppm,No vechiles
03549.ppm,Slippery road
03550.ppm,No passing
03551.ppm,Go straight or right
03552.ppm,Turn right ahead
03553.ppm,Bumpy road
03554.ppm,No passing
03555.ppm,Keep left
03556.ppm,Speed limit (30km/h)
03557.ppm,No passing
03558.ppm,Keep right
03559.ppm,Speed limit (120km/h)
03560.ppm,Speed limit (80km/h)
03561.ppm,Speed limit (60km/h)
03562.ppm,No passing for vechiles over 3.5 metric tons
03563.ppm,Children crossing
03564.ppm,Speed limit (80km/h)
03565.ppm,Ahead only
03566.ppm,Speed limit (30km/h)
03567.ppm,Priority road
03568.ppm,Speed limit (30km/h)
03569.ppm,No entry
03570.ppm,End of speed limit (80km/h)
03571.ppm,Speed limit (50km/h)
03572.ppm,Speed limit (80km/h)
03573.ppm,Speed limit (30km/h)
03574.ppm,No passing for vechiles over 3.5 metric tons
03575.ppm,No passing for vechiles over 3.5 metric tons
03576.ppm,Speed limit (100km/h)
03577.ppm,Speed limit (30km/h)
03578.ppm,Speed limit (50km/h)
03579.ppm,Speed limit (60km/h)
03580.ppm,Priority road
03581.ppm,Speed limit (60km/h)
03582.ppm,Roundabout mandatory
03583.ppm,Speed limit (30km/h)
03584.ppm,Turn right ahead
03585.ppm,Right-of-way at the next intersection
03586.ppm,Speed limit (60km/h)
03587.ppm,Speed limit (30km/h)
03588.ppm,Go straight or right
03589.ppm,Go straight or right
03590.ppm,Vechiles over 3.5 metric tons prohibited
03591.ppm,End of all speed and passing limits
03592.ppm,Road work
03593.ppm,Yield
03594.ppm,Speed limit (60km/h)
03595.ppm,Bumpy road
03596.ppm,Priority road
03597.ppm,Speed limit (30km/h)
03598.ppm,Speed limit (50km/h)
03599.ppm,No vechiles
03600.ppm,No passing
03601.ppm,Speed limit (30km/h)
03602.ppm,Stop
03603.ppm,Speed limit (60km/h)
03604.ppm,No passing
03605.ppm,Speed limit (30km/h)
03606.ppm,Speed limit (70km/h)
03607.ppm,Speed limit (100km/h)
03608.ppm,Speed limit (80km/h)
03609.ppm,Ahead only
03610.ppm,Speed limit (60km/h)
03611.ppm,Keep right
03612.ppm,Dangerous curve to the right
03613.ppm,Speed limit (70km/h)
03614.ppm,Speed limit (30km/h)
03615.ppm,Keep right
03616.ppm,Road work
03617.ppm,No passing for vechiles over 3.5 metric tons
03618.ppm,Priority road
03619.ppm,Speed limit (50km/h)
03620.ppm,No vechiles
03621.ppm,Speed limit (70km/h)
03622.ppm,Priority road
03623.ppm,Right-of-way at the next intersection
03624.ppm,Stop
03625.ppm,Dangerous curve to the right
03626.ppm,Ahead only
03627.ppm,Speed limit (70km/h)
03628.ppm,Speed limit (70km/h)
03629.ppm,Speed limit (50km/h)
03630.ppm,Road work
03631.ppm,Priority road
03632.ppm,Speed limit (70km/h)
03633.ppm,Yield
03634.ppm,Stop
03635.ppm,Slippery road
03636.ppm,Speed limit (60km/h)
03637.ppm,Double curve
03638.ppm,No passing for vechiles over 3.5 metric tons
03639.ppm,Speed limit (30km/h)
03640.ppm,Speed limit (80km/h)
03641.ppm,Speed limit (120km/h)
03642.ppm,No entry
03643.ppm,Turn left ahead
03644.ppm,No passing for vechiles over 3.5 metric tons
03645.ppm,Speed limit (70km/h)
03646.ppm,Speed limit (60km/h)
03647.ppm,No vechiles
03648.ppm,End of all speed and passing limits
03649.ppm,Speed limit (30km/h)
03650.ppm,No passing for vechiles over 3.5 metric tons
03651.ppm,No passing
03652.ppm,No passing
03653.ppm,Speed limit (120km/h)
03654.ppm,Traffic signals
03655.ppm,Speed limit (50km/h)
03656.ppm,Speed limit (120km/h)
03657.ppm,Speed limit (50km/h)
03658.ppm,Right-of-way at the next intersection
03659.ppm,No passing
03660.ppm,Keep right
03661.ppm,Speed limit (30km/h)
03662.ppm,Ahead only
03663.ppm,Yield
03664.ppm,Road narrows on the right
03665.ppm,Traffic signals
03666.ppm,Priority road
03667.ppm,Yield
03668.ppm,No passing
03669.ppm,Speed limit (50km/h)
03670.ppm,Road work
03671.ppm,Road work
03672.ppm,Traffic signals
03673.ppm,Speed limit (50km/h)
03674.ppm,Priority road
03675.ppm,Double curve
03676.ppm,Speed limit (50km/h)
03677.ppm,Yield
03678.ppm,Priority road
03679.ppm,Speed limit (120km/h)
03680.ppm,Speed limit (120km/h)
03681.ppm,No passing for vechiles over 3.5 metric tons
03682.ppm,No vechiles
03683.ppm,Stop
03684.ppm,General caution
03685.ppm,No entry
03686.ppm,Speed limit (30km/h)
03687.ppm,Priority road
03688.ppm,Traffic signals
03689.ppm,No passing for vechiles over 3.5 metric tons
03690.ppm,Priority road
03691.ppm,Right-of-way at the next intersection
03692.ppm,Speed limit (80km/h)
03693.ppm,No passing for vechiles over 3.5 metric tons
03694.ppm,Speed limit (70km/h)
03695.ppm,Turn left ahead
03696.ppm,Keep right
03697.ppm,Priority road
03698.ppm,Speed limit (30km/h)
03699.ppm,No passing for vechiles over 3.5 metric tons
03700.ppm,No passing for vechiles over 3.5 metric tons
03701.ppm,Ahead only
03702.ppm,Dangerous curve to the right
03703.ppm,Speed limit (50km/h)
03704.ppm,Speed limit (70km/h)
03705.ppm,Yield
03706.ppm,Dangerous curve to the right
03707.ppm,Speed limit (120km/h)
03708.ppm,No passing
03709.ppm,Speed limit (60km/h)
03710.ppm,Speed limit (80km/h)
03711.ppm,Speed limit (30km/h)
03712.ppm,Wild animals crossing
03713.ppm,No passing for vechiles over 3.5 metric tons
03714.ppm,Speed limit (30km/h)
03715.ppm,Speed limit (20km/h)
03716.ppm,Speed limit (50km/h)
03717.ppm,Go straight or right
03718.ppm,Speed limit (20km/h)
03719.ppm,Keep right
03720.ppm,No passing for vechiles over 3.5 metric tons
03721.ppm,Right-of-way at the next intersection
03722.ppm,Road narrows on the right
03723.ppm,Roundabout mandatory
03724.ppm,Right-of-way at the next intersection
03725.ppm,Dangerous curve to the right
03726.ppm,Speed limit (80km/h)
03727.ppm,Children crossing
03728.ppm,Speed limit (60km/h)
03729.ppm,Priority road
03730.ppm,Speed limit (80km/h)
03731.ppm,Priority road
03732.ppm,Speed limit (80km/h)
03733.ppm,General caution
03734.ppm,Pedestrians
03735.ppm,Slippery road
03736.ppm,General caution
03737.ppm,Turn right ahead
03738.ppm,Slippery road
03739.ppm,Dangerous curve to the left
03740.ppm,Speed limit (60km/h)
03741.ppm,Speed limit (80km/h)
03742.ppm,Speed limit (120km/h)
03743.ppm,Keep right
03744.ppm,Speed limit (60km/h)
03745.ppm,Speed limit (70km/h)
03746.ppm,Speed limit (60km/h)
03747.ppm,Bumpy road
03748.ppm,Right-of-way at the next intersection
03749.ppm,Turn right ahead
03750.ppm,Priority road
03751.ppm,Speed limit (60km/h)
03752.ppm,Road work
03753.ppm,Speed limit (60km/h)
03754.ppm,Speed limit (60km/h)
03755.ppm,Pedestrians
03756.ppm,Speed limit (30km/h)
03757.ppm,Road work
03758.ppm,Speed limit (70km/h)
03759.ppm,Speed limit (80km/h)
03760.ppm,No passing
03761.ppm,Speed limit (70km/h)
03762.ppm,Turn right ahead
03763.ppm,Speed limit (50km/h)
03764.ppm,Right-of-way at the next intersection
03765.ppm,Right-of-way at the next intersection
03766.ppm,Right-of-way at the next intersection
03767.ppm,Right-of-way at the next intersection
03768.ppm,Speed limit (60km/h)
03769.ppm,Road work
03770.ppm,Yield
03771.ppm,Priority road
03772.ppm,Slippery road
03773.ppm,No entry
03774.ppm,End of speed limit (80km/h)
03775.ppm,No vechiles
03776.ppm,End of no passing by vechiles over 3.5 metric tons
03777.ppm,No entry
03778.ppm,Wild animals crossing
03779.ppm,Traffic signals
03780.ppm,Dangerous curve to the right
03781.ppm,No vechiles
03782.ppm,Pedestrians
03783.ppm,Speed limit (100km/h)
03784.ppm,Speed limit (70km/h)
03785.ppm,Priority road
03786.ppm,Keep right
03787.ppm,Stop
03788.ppm,Speed limit (50km/h)
03789.ppm,Wild animals crossing
03790.ppm,No passing
03791.ppm,Speed limit (100km/h)
03792.ppm,Right-of-way at the next intersection
03793.ppm,Speed limit (20km/h)
03794.ppm,Ahead only
03795.ppm,Keep right
03796.ppm,Go straight or right
03797.ppm,Right-of-way at the next intersection
03798.ppm,Stop
03799.ppm,Priority road
03800.ppm,Speed limit (50km/h)
03801.ppm,End of speed limit (80km/h)
03802.ppm,No passing
03803.ppm,Speed limit (80km/h)
03804.ppm,Turn left ahead
03805.ppm,Speed limit (70km/h)
03806.ppm,Speed limit (60km/h)
03807.ppm,Speed limit (30km/h)
03808.ppm,No passing
03809.ppm,Keep right
03810.ppm,Speed limit (50km/h)
03811.ppm,Double curve
03812.ppm,Road work
03813.ppm,No vechiles
03814.ppm,Ahead only
03815.ppm,Children crossing
03816.ppm,Speed limit (30km/h)
03817.ppm,No passing
03818.ppm,Wild animals crossing
03819.ppm,No passing
03820.ppm,No passing
03821.ppm,Priority road
03822.ppm,No passing for vechiles over 3.5 metric tons
03823.ppm,End of no passing
03824.ppm,Road work
03825.ppm,Wild animals crossing
03826.ppm,Speed limit (60km/h)
03827.ppm,No entry
03828.ppm,Yield
03829.ppm,Priority road
03830.ppm,No passing for vechiles over 3.5 metric tons
03831.ppm,Priority road
03832.ppm,Speed limit (30km/h)
03833.ppm,Speed limit (80km/h)
03834.ppm,Children crossing
03835.ppm,Stop
03836.ppm,No passing for vechiles over 3.5 metric tons
03837.ppm,Speed limit (50km/h)
03838.ppm,Road work
03839.ppm,Speed limit (30km/h)
03840.ppm,Right-of-way at the next intersection
03841.ppm,Road work
03842.ppm,Road work
03843.ppm,Road work
03844.ppm,Yield
03845.ppm,Speed limit (60km/h)
03846.ppm,Priority road
03847.ppm,Priority road
03848.ppm,Speed limit (30km/h)
03849.ppm,Keep right
03850.ppm,General caution
03851.ppm,Speed limit (80km/h)
03852.ppm,Speed limit (70km/h)
03853.ppm,No passing for vechiles over 3.5 metric tons
03854.ppm,No entry
03855.ppm,Speed limit (50km/h)
03856.ppm,Speed limit (120km/h)
03857.ppm,Road work
03858.ppm,Speed limit (80km/h)
03859.ppm,Speed limit (60km/h)
03860.ppm,No passing for vechiles over 3.5 metric tons
03861.ppm,Speed limit (20km/h)
03862.ppm,Keep right
03863.ppm,Speed limit (120km/h)
03864.ppm,Speed limit (70km/h)
03865.ppm,General caution
03866.ppm,Yield
03867.ppm,Yield
03868.ppm,Speed limit (70km/h)
03869.ppm,Keep right
03870.ppm,Children crossing
03871.ppm,Speed limit (30km/h)
03872.ppm,No passing for vechiles over 3.5 metric tons
03873.ppm,Wild animals crossing
03874.ppm,Speed limit (120km/h)
03875.ppm,Priority road
03876.ppm,Speed limit (100km/h)
03877.ppm,No passing for vechiles over 3.5 metric tons
03878.ppm,Turn right ahead
03879.ppm,End of speed limit (80km/h)
03880.ppm,Keep right
03881.ppm,No passing for vechiles over 3.5 metric tons
03882.ppm,Speed limit (80km/h)
03883.ppm,No passing for vechiles over 3.5 metric tons
03884.ppm,Speed limit (30km/h)
03885.ppm,Speed limit (80km/h)
03886.ppm,Go straight or right
03887.ppm,Speed limit (70km/h)
03888.ppm,Traffic signals
03889.ppm,Speed limit (70km/h)
03890.ppm,Yield
03891.ppm,Priority road
03892.ppm,Priority road
03893.ppm,Speed limit (100km/h)
03894.ppm,End of all speed and passing limits
03895.ppm,Yield
03896.ppm,General caution
03897.ppm,Keep left
03898.ppm,Ahead only
03899.ppm,Turn right ahead
03900.ppm,General caution
03901.ppm,Speed limit (30km/h)
03902.ppm,Right-of-way at the next intersection
03903.ppm,Speed limit (50km/h)
03904.ppm,General caution
03905.ppm,No passing
03906.ppm,Priority road
03907.ppm,No passing
03908.ppm,Speed limit (100km/h)
03909.ppm,Road narrows on the right
03910.ppm,No entry
03911.ppm,Keep right
03912.ppm,Speed limit (30km/h)
03913.ppm,Priority road
03914.ppm,Keep right
03915.ppm,End of all speed and passing limits
03916.ppm,No passing
03917.ppm,Speed limit (120km/h)
03918.ppm,Speed limit (100km/h)
03919.ppm,Priority road
03920.ppm,No entry
03921.ppm,Turn right ahead
03922.ppm,Speed limit (120km/h)
03923.ppm,Traffic signals
03924.ppm,No passing for vechiles over 3.5 metric tons
03925.ppm,Right-of-way at the next intersection
03926.ppm,Speed limit (50km/h)
03927.ppm,Yield
03928.ppm,Speed limit (100km/h)
03929.ppm,Speed limit (100km/h)
03930.ppm,Speed limit (80km/h)
03931.ppm,Right-of-way at the next intersection
03932.ppm,Yield
03933.ppm,Speed limit (80km/h)
03934.ppm,Stop
03935.ppm,Speed limit (50km/h)
03936.ppm,Speed limit (80km/h)
03937.ppm,Ahead only
03938.ppm,Speed limit (70km/h)
03939.ppm,Slippery road
03940.ppm,No passing
03941.ppm,General caution
03942.ppm,No entry
03943.ppm,Speed limit (100km/h)
03944.ppm,End of speed limit (80km/h)
03945.ppm,General caution
03946.ppm,Speed limit (70km/h)
03947.ppm,Traffic signals
03948.ppm,Speed limit (50km/h)
03949.ppm,Speed limit (70km/h)
03950.ppm,Speed limit (70km/h)
03951.ppm,Speed limit (20km/h)
03952.ppm,Speed limit (100km/h)
03953.ppm,Ahead only
03954.ppm,Speed limit (80km/h)
03955.ppm,Roundabout mandatory
03956.ppm,Priority road
03957.ppm,Bicycles crossing
03958.ppm,General caution
03959.ppm,Traffic signals
03960.ppm,Bumpy road
03961.ppm,Turn right ahead
03962.ppm,Turn right ahead
03963.ppm,Stop
03964.ppm,No entry
03965.ppm,Yield
03966.ppm,Yield
03967.ppm,Speed limit (100km/h)
03968.ppm,Keep right
03969.ppm,Ahead only
03970.ppm,Priority road
03971.ppm,Speed limit (120km/h)
03972.ppm,Speed limit (80km/h)
03973.ppm,No passing for vechiles over 3.5 metric tons
03974.ppm,Traffic signals
03975.ppm,Speed limit (50km/h)
03976.ppm,Priority road
03977.ppm,Priority road
03978.ppm,Ahead only
03979.ppm,Speed limit (50km/h)
03980.ppm,Wild animals crossing
03981.ppm,Keep right
03982.ppm,Speed limit (30km/h)
03983.ppm,Keep right
03984.ppm,Speed limit (80km/h)
03985.ppm,No passing
03986.ppm,Road work
03987.ppm,Speed limit (70km/h)
03988.ppm,End of speed limit (80km/h)
03989.ppm,No passing for vechiles over 3.5 metric tons
03990.ppm,Priority road
03991.ppm,Speed limit (120km/h)
03992.ppm,Keep right
03993.ppm,Priority road
03994.ppm,No entry
03995.ppm,No entry
03996.ppm,Priority road
03997.ppm,Right-of-way at the next intersection
03998.ppm,Keep right
03999.ppm,Road work
04000.ppm,Speed limit (60km/h)
04001.ppm,Speed limit (30km/h)
04002.ppm,Children crossing
04003.ppm,Speed limit (100km/h)
04004.ppm,No passing
04005.ppm,Keep left
04006.ppm,No passing for vechiles over 3.5 metric tons
04007.ppm,Priority road
04008.ppm,Yield
04009.ppm,Speed limit (100km/h)
04010.ppm,Priority road
04011.ppm,No passing for vechiles over 3.5 metric tons
04012.ppm,Speed limit (50km/h)
04013.ppm,No passing for vechiles over 3.5 metric tons
04014.ppm,Speed limit (30km/h)
04015.ppm,No passing for vechiles over 3.5 metric tons
04016.ppm,Keep right
04017.ppm,Yield
04018.ppm,Speed limit (70km/h)
04019.ppm,Speed limit (70km/h)
04020.ppm,General caution
04021.ppm,Speed limit (70km/h)
04022.ppm,Speed limit (70km/h)
04023.ppm,No passing for vechiles over 3.5 metric tons
04024.ppm,Priority road
04025.ppm,Priority road
04026.ppm,Road work
04027.ppm,Speed limit (80km/h)
04028.ppm,No entry
04029.ppm,Speed limit (100km/h)
04030.ppm,Speed limit (30km/h)
04031.ppm,Ahead only
04032.ppm,No passing for vechiles over 3.5 metric tons
04033.ppm,No passing for vechiles over 3.5 metric tons
04034.ppm,General caution
04035.ppm,Speed limit (120km/h)
04036.ppm,Speed limit (120km/h)
04037.ppm,Keep right
04038.ppm,Vechiles over 3.5 metric tons prohibited
04039.ppm,Road work
04040.ppm,Road work
04041.ppm,Speed limit (80km/h)
04042.ppm,End of no passing
04043.ppm,Road work
04044.ppm,Vechiles over 3.5 metric tons prohibited
04045.ppm,Keep right
04046.ppm,Wild animals crossing
04047.ppm,Speed limit (50km/h)
04048.ppm,Roundabout mandatory
04049.ppm,Slippery road
04050.ppm,Speed limit (100km/h)
04051.ppm,No passing for vechiles over 3.5 metric tons
04052.ppm,Children crossing
04053.ppm,Speed limit (100km/h)
04054.ppm,Priority road
04055.ppm,Double curve
04056.ppm,Priority road
04057.ppm,End of no passing
04058.ppm,Ahead only
04059.ppm,Speed limit (70km/h)
04060.ppm,No passing for vechiles over 3.5 metric tons
04061.ppm,General caution
04062.ppm,Speed limit (100km/h)
04063.ppm,Priority road
04064.ppm,No passing
04065.ppm,Speed limit (30km/h)
04066.ppm,Double curve
04067.ppm,Stop
04068.ppm,No passing for vechiles over 3.5 metric tons
04069.ppm,Speed limit (30km/h)
04070.ppm,Speed limit (70km/h)
04071.ppm,Stop
04072.ppm,No entry
04073.ppm,Speed limit (50km/h)
04074.ppm,Ahead only
04075.ppm,Speed limit (60km/h)
04076.ppm,Speed limit (30km/h)
04077.ppm,Speed limit (120km/h)
04078.ppm,Speed limit (30km/h)
04079.ppm,Speed limit (30km/h)
04080.ppm,Road work
04081.ppm,Speed limit (80km/h)
04082.ppm,Speed limit (80km/h)
04083.ppm,General caution
04084.ppm,Speed limit (30km/h)
04085.ppm,Speed limit (50km/h)
04086.ppm,No passing for vechiles over 3.5 metric tons
04087.ppm,Vechiles over 3.5 metric tons prohibited
04088.ppm,Yield
04089.ppm,Ahead only
04090.ppm,Speed limit (120km/h)
04091.ppm,Children crossing
04092.ppm,Speed limit (70km/h)
04093.ppm,Speed limit (120km/h)
04094.ppm,Speed limit (70km/h)
04095.ppm,Stop
04096.ppm,Speed limit (80km/h)
04097.ppm,Wild animals crossing
04098.ppm,End of all speed and passing limits
04099.ppm,Speed limit (30km/h)
04100.ppm,Priority road
04101.ppm,Slippery road
04102.ppm,Speed limit (120km/h)
04103.ppm,Speed limit (80km/h)
04104.ppm,Traffic signals
04105.ppm,Bumpy road
04106.ppm,Keep left
04107.ppm,No passing for vechiles over 3.5 metric tons
04108.ppm,Keep right
04109.ppm,Slippery road
04110.ppm,Yield
04111.ppm,Priority road
04112.ppm,Slippery road
04113.ppm,Speed limit (100km/h)
04114.ppm,No passing for vechiles over 3.5 metric tons
04115.ppm,Bumpy road
04116.ppm,No passing for vechiles over 3.5 metric tons
04117.ppm,Speed limit (80km/h)
04118.ppm,Speed limit (70km/h)
04119.ppm,Speed limit (20km/h)
04120.ppm,Go straight or right
04121.ppm,Speed limit (60km/h)
04122.ppm,Ahead only
04123.ppm,Speed limit (80km/h)
04124.ppm,Ahead only
04125.ppm,Speed limit (80km/h)
04126.ppm,Right-of-way at the next intersection
04127.ppm,Keep right
04128.ppm,Keep left
04129.ppm,Yield
04130.ppm,End of speed limit (80km/h)
04131.ppm,No entry
04132.ppm,Speed limit (50km/h)
04133.ppm,No passing
04134.ppm,Speed limit (80km/h)
04135.ppm,Ahead only
04136.ppm,Speed limit (70km/h)
04137.ppm,Yield
04138.ppm,Keep right
04139.ppm,Priority road
04140.ppm,Children crossing
04141.ppm,Keep right
04142.ppm,Turn right ahead
04143.ppm,General caution
04144.ppm,Speed limit (50km/h)
04145.ppm,Turn right ahead
04146.ppm,No entry
04147.ppm,Right-of-way at the next intersection
04148.ppm,No passing for vechiles over 3.5 metric tons
04149.ppm,No passing for vechiles over 3.5 metric tons
04150.ppm,Road narrows on the right
04151.ppm,No entry
04152.ppm,Ahead only
04153.ppm,Speed limit (120km/h)
04154.ppm,General caution
04155.ppm,No entry
04156.ppm,Speed limit (70km/h)
04157.ppm,Right-of-way at the next intersection
04158.ppm,Speed limit (100km/h)
04159.ppm,Road work
04160.ppm,Speed limit (100km/h)
04161.ppm,Keep right
04162.ppm,End of no passing by vechiles over 3.5 metric tons
04163.ppm,End of no passing
04164.ppm,Yield
04165.ppm,Double curve
04166.ppm,General caution
04167.ppm,General caution
04168.ppm,Speed limit (30km/h)
04169.ppm,No passing
04170.ppm,Road work
04171.ppm,Stop
04172.ppm,Speed limit (30km/h)
04173.ppm,No entry
04174.ppm,Priority road
04175.ppm,No entry
04176.ppm,Speed limit (80km/h)
04177.ppm,Ahead only
04178.ppm,Priority road
04179.ppm,Speed limit (100km/h)
04180.ppm,Speed limit (80km/h)
04181.ppm,Right-of-way at the next intersection
04182.ppm,No entry
04183.ppm,Turn right ahead
04184.ppm,Go straight or left
04185.ppm,Wild animals crossing
04186.ppm,Speed limit (70km/h)
04187.ppm,Speed limit (50km/h)
04188.ppm,No passing for vechiles over 3.5 metric tons
04189.ppm,No passing
04190.ppm,Speed limit (80km/h)
04191.ppm,Turn right ahead
04192.ppm,Children crossing
04193.ppm,Children crossing
04194.ppm,No passing for vechiles over 3.5 metric tons
04195.ppm,Priority road
04196.ppm,Priority road
04197.ppm,Speed limit (60km/h)
04198.ppm,Speed limit (50km/h)
04199.ppm,Vechiles over 3.5 metric tons prohibited
04200.ppm,No passing
